id,title,context,question,answers
5727dd9c4b864d1900163f723,etica 3,"Expansión y personalización: Si lo deseas, puedes expandir aún más el mapa mental agregando subramas o detalles adicionales a medida que exploras cada tema en más profundidad. Personaliza el mapa mental de acuerdo con tus propias experiencias y necesidades como estudiante universitario.",¿Cómo integrar las vivencias individuales en el mapa mental requerido?,"{'answer_start': [176], 'text': ['Personaliza el mapa mental de acuerdo con tus propias experiencias y necesidades']}"
5727dd9c4b864d1900163f601,etica2,"A.A. Mapa Mental: Control de Lectura Cap. 02 Ethics and Technology
Tema central: Coloca en el centro del mapa mental el tema ""Estudiantes universitarios"" y dibuja un círculo o una imagen representativa.",¿Cuál es el foco principal que se debe destacar en el mapa mental?,"{'answer_start': [126], 'text': ['Estudiantes universitarios']}"
5727dd9c4b864d1900163f1280,etica21,"Debate y discusión: En esta sección, los invito a debatir sobre los cuestionamientos de la moral y la ética profesional desde una perspectiva filosófica.",¿De qué se trata la conversación propuesta en la sección de debate y discusión?,"{'answer_start': [48], 'text': ['a debatir sobre los cuestionamientos de la moral y la ética profesional desde una perspectiva filosófica.']}"
5727dd9c4b864d1900163f121,etica1,"Recuerda que el mapa mental es una herramienta visual para organizar ideas y conceptos. No hay una estructura fija, por lo que puedes adaptarla a tu propio estilo y preferencias.",¿Qué libertad existe en cuanto a la estructura del mapa mental según las instrucciones proporcionadas?,"{'answer_start': [88], 'text': ['No hay una estructura fija, por lo que puedes adaptarla a tu propio estilo y preferencias']}"
5727dd9c4b864d1900163f996,hvpin1,"No olvidar que, el tamaño del archivo en el EVA es máximo 2MB sugerido en bytes para evitar inconvenientes al momento de su entrega en EVA-UNL.",¿Qué límite de tamaño se establece para los archivos cargados en EVA-UNL?,"{'answer_start': [58], 'text': ['2MB']}"
5727dd9c4b864d1900163f272,etica2,"A.A.Ensayo Cuestionamientos de la Ética y Moral profesional.
1. Introducción:
2. Definición de ética y moral profesional:
3. Cuestionamientos éticos en el ámbito profesional de TI:
4. Impacto de los cuestionamientos éticos en la sociedad y los individuos:
5. Herramientas y enfoques para abordar los cuestionamientos éticos:
6. Reflexiones y conclusiones:",¿Cuál es el número total de secciones dentro del tema?,"{'answer_start': [325], 'text': ['6']}"
5727dd9c4b864d1900163f569,etica2,Examina cómo los cuestionamientos éticos en el ámbito profesional de TI pueden afectar a la sociedad en general y a los individuos.,¿Qué dilemas pueden surgir en el ámbito laboral de la tecnología de la información?,"{'answer_start': [17], 'text': ['cuestionamientos éticos']}"
5727dd9c4b864d1900163f939,TIC,"La autoría implica que cualquier problema legal que surja del contenido del informe, incluyendo el plagio, sería responsabilidad del autor (el estudiante), no de la universidad (UNL) o sus representantes.","¿Quién está sujeto a la responsabilidad legal si hay algún problema con el contenido del informe, como el plagio?","{'answer_start': [82], 'text': ['del autor (el estudiante)']}"
5727dd9c4b864d1900163f1394,securityPractica1,"Cabe destacar que este tipo de herramientas permiten crear una lista de vulnerabilidades conocidas que se implementan  en un sistema objetivo para ver si hay alguna debilidad presente. Al final del análisis, la herramienta permitirá la creación de informes que describan las vulnerabilidades detectadas y su gravedad y, potencialmente, los pasos necesarios para remediarlas",¿Qué se hace con la lista de vulnerabilidades conocidas?,"{'answer_start': [103], 'text': ['se implementan  en un sistema objetivo para ver si hay alguna debilidad presente']}"
5727dd9c4b864d1900163f703,etica 3,"Recuerda que el mapa mental es una herramienta visual para organizar ideas y conceptos. No hay una estructura fija, por lo que puedes adaptarla a tu propio estilo y preferencias.",¿Cuál es la disposición estándar sugerida para un mapa mental de acuerdo con las directrices proporcionadas?,"{'answer_start': [88], 'text': ['No hay una estructura fija']}"
5727dd9c4b864d1900163f265,etica2,"A.A.Ensayo Cuestionamientos de la Ética y Moral profesional.
1. Introducción:
2. Definición de ética y moral profesional:
3. Cuestionamientos éticos en el ámbito profesional de TI:
4. Impacto de los cuestionamientos éticos en la sociedad y los individuos:
5. Herramientas y enfoques para abordar los cuestionamientos éticos:
6. Reflexiones y conclusiones:",¿Cuál es el asunto central tratado en el ensayo?,"{'answer_start': [11], 'text': ['Cuestionamiento de la ética y Moral profesional.']}"
5727dd9c4b864d1900163f05,etica1,"A.A. Mapa Mental: Control de Lectura Cap. 01 Ethics and Technology.Tema central: Coloca en el centro del mapa mental el tema ""El nombre del capitulo"" y dibuja un círculo o una imagen representativa.
Ramas principales: A partir del centro, traza ramas principales que representen las áreas clave relacionadas con la experiencia de los estudiantes universitarios. Algunas ideas para las ramas principales",¿Qué representa el núcleo del mapa mental?,"{'answer_start': [129], 'text': ['Nombre del capitulo']}"
5727dd9c4b864d1900163f169,etica1,"Recuerda que el mapa mental es una herramienta visual para organizar ideas y conceptos. No hay una estructura fija, por lo que puedes adaptarla a tu propio estilo y preferencias.",¿Qué objetivo persigue el empleo del mapa mental?,"{'answer_start': [59], 'text': ['Organizar ideas y conceptos']}"
5727dd9c4b864d1900163f1003,hvpin1,Realice el análisis y revisión de dos librerías aplicadas a un ejemplo de visión por computación. Utilice el ejemplo de clasificación de números o dígitos del 0 al 9.,¿En qué consisten las actividades que deben realizarse pronto?,"{'answer_start': [11], 'text': ['Análisis y revisión de dos librerías aplicadas a un ejemplo de visión por computación']}"
5727dd9c4b864d1900163f1142,hvpin1,Utilice el ejemplo de clasificación de números o dígitos del 0 al 9.,¿Qué ejemplo se debe utilizar en la tarea?,"{'answer_start': [8], 'text': ['El ejemplo de clasificación de números o dígitos del 0 al 9']}"
5727dd9c4b864d1900163f980,hvpin1,Se debe seguir el siguiente formato en el nombre del archivo digital de su tarea que facilite su ubicación: número del trabajo autónomo y nombre del estudiante respectivo.,¿Cuál es la convención de nomenclatura recomendada para el documento del trabajo?,"{'answer_start': [108], 'text': ['Número del trabajo autónomo y nombre del estudiante respectivo']}"
5727dd9c4b864d1900163f90,etica1,"Recuerda que el mapa mental es una herramienta visual para organizar ideas y conceptos. No hay una estructura fija, por lo que puedes adaptarla a tu propio estilo y preferencias.",¿Cómo se podría describir un mapa mental en términos generales?,"{'answer_start': [31], 'text': ['una  herramienta visual para organizar ideas y conceptos']}"
5727dd9c4b864d1900163f524,etica2,"Ejemplos de herramientas pueden incluir códigos de ética profesional, comités de ética, evaluaciones de impacto ético, entre otros.",¿Qué tipo de herramientas se enumeran en el texto?,"{'answer_start': [40], 'text': ['códigos de ética profesional, comités de ética, evaluaciones de impacto ético, entre otros.']}"
5727dd9c4b864d1900163f298,etica2,"A.A.Ensayo Cuestionamientos de la Ética y Moral profesional.
Introducción:
Presenta el tema de los cuestionamientos éticos y morales en el ámbito profesional, con un enfoque específico en el campo de TI.",¿Qué tema se enfatiza como primordial en la introducción del ensayo?,"{'answer_start': [11], 'text': ['Cuestionamientos éticos y morales en el ámbito profesional']}"
